id,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend
66,0.0,0.0,2,4,1,1,3,1,0
68,0.0,0.0,2,2,7,2,4,1,0
70,0.0,0.0,2,2,6,1,2,1,0
71,0.0,0.0,2,2,6,6,1,1,0
72,0.0,0.4,2,2,2,3,3,1,0
73,0.0,0.0,2,2,4,3,2,1,0
74,0.0,0.0,2,2,4,3,3,1,0
75,0.0,0.0,2,2,4,1,1,1,0
77,0.0,0.6,2,3,2,3,3,1,0
79,0.0,0.4,2,1,1,1,3,1,0
80,0.0,0.0,2,4,1,1,5,1,1
81,0.0,0.8,2,1,1,1,3,1,0
82,0.0,0.0,2,2,2,1,3,1,0
83,0.0,0.0,2,3,2,4,1,1,0
84,0.0,0.8,2,2,2,2,1,1,1
86,0.0,0.0,2,2,2,2,1,1,0
87,0.0,0.0,2,1,1,1,3,1,0
88,0.0,0.4,2,4,1,3,3,1,0
89,0.0,0.0,2,1,1,4,2,1,0
90,0.0,0.4,2,1,1,1,3,1,0
91,0.0,0.0,2,1,1,1,2,1,1
92,0.0,0.0,2,1,1,1,3,1,0
93,0.0,0.0,2,2,2,1,5,2,0
94,0.0,0.6,2,4,1,3,3,1,0
95,0.0,0.2,2,1,1,1,3,1,0
96,0.0,0.2,2,1,1,1,3,1,0
97,0.0,0.6,2,1,1,1,4,1,0
98,0.0,0.6,2,2,4,1,7,1,0
99,0.0,0.0,2,3,2,3,4,1,0
102,0.0,0.4,2,1,1,3,2,1,0
105,0.0,0.0,2,1,1,7,2,1,0
106,0.0,0.8,2,4,1,1,3,1,0
107,0.0,0.0,2,1,1,1,3,1,0
110,0.0,0.6,2,2,2,3,3,1,0
112,0.0,0.8,2,1,1,2,3,1,0
113,0.0,0.2,2,2,4,1,1,1,0
114,0.0,0.2,2,1,1,1,3,1,0
115,0.0,0.0,2,1,1,1,4,1,1
117,0.0,0.2,2,2,2,3,1,1,0
118,0.0,0.0,2,4,1,3,3,1,0
120,0.0,0.0,2,2,4,4,1,1,0
121,0.0,0.6,2,2,2,1,2,1,0
123,0.0,0.0,2,1,1,3,3,1,0
124,0.0,0.0,2,2,4,3,1,1,0
125,0.0,0.0,2,1,1,3,3,1,0
126,0.0,0.4,2,2,2,1,3,1,0
127,0.0,0.4,2,1,1,8,3,1,0
129,0.0,0.0,2,2,4,1,1,1,0
130,0.0,0.0,2,2,6,1,2,1,1
131,0.0,0.0,2,2,2,1,6,1,0
132,0.0,0.0,2,3,2,3,3,1,0
133,0.0,0.8,2,2,2,4,3,1,0
134,0.0,0.6,2,1,1,3,3,1,0
135,0.0,0.0,2,3,2,4,2,1,0
137,0.0,0.0,2,2,4,1,5,1,0
139,0.0,0.2,2,1,1,3,3,1,0
141,0.0,0.2,2,1,1,6,3,1,0
142,0.0,0.0,2,2,4,2,3,1,0
143,0.0,0.0,2,2,2,2,3,1,0
144,0.0,0.0,2,2,2,3,6,1,0
146,0.0,0.0,2,2,2,1,1,1,0
147,0.0,0.0,2,2,2,3,3,1,0
148,0.0,0.0,2,1,1,4,3,1,0
149,0.0,0.8,2,2,2,2,1,1,0
150,0.0,0.0,2,1,2,1,1,1,0
151,0.0,0.4,2,2,2,3,4,1,0
152,0.0,0.0,2,2,5,5,1,1,0
153,0.0,0.2,2,2,2,3,3,1,0
154,0.0,0.0,2,2,6,1,1,1,0
156,0.0,0.0,2,3,3,3,2,1,1
157,0.0,0.8,2,1,1,1,3,1,1
158,0.0,0.0,2,1,1,1,3,1,0
159,0.0,0.0,2,3,2,3,3,1,0
161,0.0,0.0,2,1,1,1,1,1,1
162,0.0,0.0,2,1,1,1,2,1,1
166,0.0,0.0,2,2,2,1,3,1,0
167,0.0,0.0,2,2,2,1,3,1,0
168,0.0,0.0,2,2,4,6,1,1,0
169,0.0,0.8,2,3,2,7,4,1,1
171,0.0,0.0,2,2,4,1,3,1,0
173,0.0,0.8,2,1,1,1,2,1,1
176,0.0,0.0,2,1,1,6,2,1,0
177,0.0,0.0,2,1,1,1,4,1,0
178,0.0,0.0,2,3,2,3,3,1,0
180,0.0,0.0,2,3,2,6,2,1,1
181,0.0,0.6,2,4,2,1,3,1,0
182,0.0,0.0,2,2,4,1,1,1,0
183,0.0,0.8,2,3,2,1,3,1,1
184,0.0,0.0,3,2,2,1,8,1,0
185,8.000740741,0.0,3,1,1,3,1,1,0
186,0.0,0.0,3,2,2,3,2,1,0
188,1.706014966,0.0,3,2,2,7,2,1,0
189,46.53017511,0.0,3,2,2,1,1,1,0
192,0.0,0.0,3,1,1,1,1,1,0
194,0.0,0.0,3,1,1,7,2,1,1
195,0.0,0.0,3,1,1,1,3,1,0
198,109.176,0.0,3,2,2,9,2,2,0
199,96.25511582,0.0,3,2,4,1,2,2,1
200,153.4432478,0.0,3,2,2,7,8,1,1
201,0.0,0.0,3,1,1,1,9,1,1
202,0.0,0.0,3,1,1,1,2,2,0
204,0.0,0.0,3,3,2,1,10,1,0
205,0.0,0.0,3,2,2,5,2,2,0
206,33.79956701,0.0,3,2,5,2,3,2,0
207,0.0,0.0,3,2,2,7,2,2,1
208,0.0,0.0,3,3,2,7,1,2,0
209,0.0,0.0,3,2,4,1,3,1,0
210,0.0,0.0,3,3,2,3,2,1,0
212,0.0,0.0,3,3,2,8,11,1,0
213,0.0,0.0,3,1,2,6,6,1,1
214,0.0,0.0,3,2,2,1,2,1,0
218,0.0,0.0,3,2,2,3,2,1,0
219,0.0,0.0,3,2,4,3,12,1,0
220,35.0928,0.0,3,2,2,5,1,1,0
222,0.0,0.0,3,3,2,1,1,1,0
223,0.0,0.0,3,2,2,1,8,2,0
224,0.0,0.0,3,3,2,4,2,1,0
225,0.0,0.0,3,2,2,3,11,1,1
226,0.0,0.0,3,2,2,4,1,1,0
227,0.0,0.0,3,2,2,1,3,1,0
228,17.76266667,0.0,3,2,2,1,1,1,0
229,0.0,0.0,3,2,2,1,3,1,0
230,7.146260888,0.0,3,2,2,7,9,1,1
232,0.0,0.0,3,4,1,1,3,1,1
233,22.03276923,0.0,3,2,2,3,2,1,1
234,0.0,0.0,3,3,2,2,1,1,1
235,0.0,0.0,3,3,2,2,2,1,0
236,0.0,0.0,3,3,2,1,8,1,1
237,0.0,0.0,3,2,6,1,1,1,1
238,0.0,0.0,3,3,2,2,3,1,1
239,0.0,0.0,3,2,2,4,3,1,0
241,0.0,0.0,3,2,5,1,3,1,0
242,0.0,0.0,3,2,2,8,1,1,0
243,0.0,0.0,3,2,2,1,3,1,1
244,0.0,0.0,3,2,10,1,2,1,0
245,0.0,0.0,3,4,1,1,3,1,0
246,0.0,0.0,3,2,2,8,1,1,0
248,4.368515556,0.0,3,2,2,3,2,1,0
249,0.0,0.0,3,3,2,2,1,1,1
250,0.0,0.0,3,3,2,9,3,1,1
251,0.0,0.0,3,2,5,1,1,1,0
252,0.0,0.0,3,1,1,1,1,1,0
253,0.0,0.0,3,2,5,2,1,1,0
254,0.0,0.0,3,2,2,5,1,1,1
255,0.0,0.0,3,1,1,1,1,1,0
256,0.0,0.0,3,3,2,3,2,1,0
257,0.0,0.0,3,1,1,7,8,1,0
258,0.0,0.0,3,1,1,3,1,1,0
260,0.0,0.0,3,7,1,6,1,1,1
261,0.0,0.0,3,3,3,5,2,1,0
262,8.772473118,0.0,3,2,2,3,2,1,1
263,0.0,0.0,3,2,2,1,1,1,0
265,51.46331148,0.0,3,2,5,3,1,1,1
266,0.0,0.0,3,1,8,7,2,1,0
267,0.0,0.0,3,2,2,1,10,1,0
269,0.0,0.0,3,1,1,1,3,1,1
270,0.0,0.0,3,3,2,1,1,1,1
271,0.0,0.0,3,2,5,1,1,1,0
272,0.0,0.0,3,1,1,1,8,2,0
273,0.0,0.0,3,2,5,3,3,1,0
274,0.0,0.0,3,1,1,2,9,1,1
275,0.0,0.0,3,2,5,6,1,1,0
276,38.99,0.0,3,1,1,1,3,1,1
277,0.0,0.0,3,4,2,9,1,1,0
278,0.0,0.0,3,2,2,2,2,1,0
281,53.9892,0.0,3,2,2,1,11,1,1
282,6.831792392,0.0,3,3,2,2,3,1,0
283,0.0,0.0,3,2,2,4,3,1,0
285,0.0,0.0,3,2,2,2,1,1,0
286,0.0,0.0,3,2,2,1,1,1,0
287,0.0,0.0,3,2,2,1,1,1,0
289,0.0,0.0,3,1,1,1,10,1,0
292,0.0,0.0,3,3,2,2,1,1,0
297,0.0,0.0,3,3,2,1,1,1,0
298,0.0,0.0,3,1,1,8,1,1,0
299,0.0,0.0,3,2,2,1,3,1,0
300,0.0,0.0,3,1,1,1,9,1,1
301,0.0,0.0,3,2,2,2,3,1,1
302,0.0,0.0,3,3,2,3,1,1,0
303,0.0,0.0,3,2,2,6,1,1,0
305,0.0,0.0,3,3,2,3,1,1,0
306,0.0,0.0,3,2,2,1,3,1,1
307,0.0,0.0,3,2,2,1,1,1,0
308,0.0,0.0,3,3,2,4,11,1,0
309,0.0,0.0,3,1,1,4,9,1,1
310,0.0,0.0,3,2,2,1,13,1,0
311,0.0,0.0,3,2,5,1,3,1,1
312,0.0,0.0,3,2,2,1,1,1,0
313,0.0,0.0,3,3,2,1,1,1,0
314,0.0,0.0,3,1,1,6,2,1,0
315,0.0,0.0,3,1,2,1,2,1,0
316,0.0,0.0,3,4,1,1,1,1,0
317,0.0,0.0,3,2,2,1,8,1,0
318,0.0,0.0,3,2,2,1,1,1,0
319,0.0,0.0,3,4,1,1,1,1,0
320,7.103020833,0.0,3,3,2,6,1,1,0
321,0.0,0.0,3,2,2,4,1,1,0
322,0.0,0.0,3,2,2,9,2,1,0
323,0.0,0.0,3,2,2,1,2,2,0
324,0.0,0.0,3,1,2,6,1,1,0
325,0.0,0.0,3,2,2,1,1,1,0
326,0.0,0.0,3,2,2,1,2,2,0
327,0.0,0.0,3,1,1,1,1,1,1
328,0.0,0.0,3,3,2,1,9,1,0
329,0.0,0.0,3,3,2,8,2,2,0
330,0.0,0.0,3,3,2,3,1,1,0
331,0.0,0.0,3,4,2,1,2,2,0
333,0.0,0.0,3,2,2,1,1,1,0
334,0.0,0.0,3,2,2,3,1,1,0
335,0.0,0.0,3,2,2,3,1,1,0
336,0.0,0.0,3,3,2,1,3,1,0
339,0.0,0.0,3,3,2,1,2,1,0
340,0.0,0.0,3,2,2,1,3,1,0
341,0.0,0.0,3,2,2,4,1,1,0
342,0.0,0.0,3,1,1,1,3,1,0
343,0.0,0.0,3,1,1,8,1,1,0
344,0.0,0.0,3,2,2,8,1,1,0
346,0.0,0.0,3,2,2,4,3,1,0
347,0.0,0.0,3,1,1,1,3,1,0
348,0.0,0.0,3,2,10,1,3,2,0
349,0.0,0.0,3,3,2,2,1,1,1
350,0.0,0.0,3,2,2,1,1,2,0
351,0.0,0.0,3,2,5,7,1,1,0
352,19.66818546,0.0,3,2,2,3,1,1,1
353,0.0,0.0,3,2,2,6,2,1,0
354,0.0,0.0,3,2,2,2,1,1,0
355,9.227000967,0.0,3,2,4,1,3,1,0
356,0.0,0.0,3,2,2,4,1,1,0
357,0.0,0.0,3,2,6,2,2,1,0
358,0.0,0.0,3,2,2,1,2,1,0
359,0.0,0.0,3,3,2,1,1,1,0
360,0.0,0.0,3,2,2,1,1,1,0
361,0.0,0.0,3,2,2,1,1,1,1
362,0.0,0.0,3,2,4,3,1,1,0
366,0.0,0.0,3,2,2,4,3,1,1
367,12.01656549,0.0,3,3,2,5,2,1,0
369,0.0,0.0,3,2,4,4,3,1,1
370,0.0,0.0,3,1,1,4,1,1,0
371,0.0,0.0,3,2,2,9,1,1,0
372,0.0,0.0,3,3,2,1,8,2,1
375,0.0,0.0,3,3,2,4,1,1,0
376,0.0,0.0,3,2,2,5,2,1,0
377,0.0,0.0,3,2,2,1,1,1,1
378,0.0,0.0,3,3,2,8,10,1,0
379,16.14384,0.0,3,1,1,4,2,1,0
380,0.0,0.0,3,1,1,5,3,1,0
382,0.0,0.0,3,1,5,7,1,1,0
383,0.0,0.0,3,2,2,2,3,1,0
384,2.810812468,0.0,3,1,1,4,2,1,0
387,0.0,0.0,3,2,2,6,2,1,0
388,0.0,0.0,3,3,2,1,6,1,0
389,0.0,0.0,3,3,2,2,3,1,0
392,0.0,0.0,3,3,2,3,1,1,1
393,0.0,0.0,3,1,1,2,1,1,0
395,0.0,0.0,3,1,1,4,2,1,0
396,0.0,0.0,3,3,2,2,10,2,0
397,0.0,0.0,3,2,2,1,2,1,0
398,0.0,0.0,3,2,4,1,1,1,0
399,11.92009615,0.0,3,2,2,7,2,1,0
400,78.93483561,0.0,3,3,3,2,1,1,0
403,0.0,0.0,3,2,2,6,1,1,0
404,0.0,0.0,3,3,2,1,2,2,0
405,0.0,0.0,3,2,2,9,1,1,0
406,0.0,0.0,3,4,2,1,7,2,0
407,0.0,0.0,3,2,6,1,2,1,0
408,15.88906362,0.0,3,1,2,1,9,1,1
409,0.0,0.0,3,2,2,6,6,1,0
410,0.0,0.0,3,2,4,7,1,1,0
412,0.0,0.0,3,1,2,3,8,2,1
414,0.0,0.0,3,1,1,8,2,1,1
415,0.0,0.0,3,2,2,3,10,1,0
416,11.9955404,0.0,3,2,2,1,3,1,1
417,0.0,0.0,3,2,2,2,1,1,1
418,0.0,0.0,3,1,1,1,1,1,1
419,0.0,0.0,3,1,2,9,2,1,0
420,0.0,0.0,3,2,5,1,1,1,1
421,0.0,0.0,3,3,2,2,1,1,0
422,0.0,0.0,3,2,2,1,2,1,0
423,0.0,0.0,3,2,5,6,2,1,1
424,18.36804916,0.0,3,2,2,1,2,1,0
425,0.0,0.0,3,2,2,1,2,1,1
427,0.0,0.0,3,2,10,4,3,1,0
428,0.0,0.0,3,2,2,1,2,1,0
429,0.0,0.0,3,2,2,4,11,1,0
431,0.0,0.0,3,3,2,1,1,1,1
432,0.0,0.0,3,2,2,3,1,1,0
433,0.0,0.0,3,3,2,3,2,2,1
436,0.0,0.0,3,2,5,2,1,1,0
437,0.0,0.0,3,3,3,2,1,1,0
438,0.0,0.0,3,2,2,2,3,1,0
439,0.0,0.0,3,2,2,5,2,1,0
440,0.0,0.0,3,2,2,4,2,1,1
441,0.0,0.0,3,2,2,4,6,1,0
442,0.0,0.0,3,2,2,4,2,1,0
443,0.0,0.0,3,1,8,4,11,2,0
444,0.0,0.0,3,1,1,3,10,1,0
445,0.0,0.0,3,3,2,1,10,1,1
446,0.0,0.0,3,2,2,3,2,1,0
448,17.527656,0.0,3,1,1,4,3,1,0
450,0.0,0.0,3,2,2,1,2,1,0
451,0.0,0.0,3,1,1,1,2,2,0
452,0.0,0.0,3,2,2,6,1,1,0
453,0.0,0.0,3,2,2,1,2,1,1
455,0.0,0.0,3,3,3,3,9,1,1
456,0.0,0.0,3,2,2,4,1,1,0
457,61.9395,0.0,3,2,2,1,2,2,1
458,0.0,0.0,3,2,5,5,1,1,0
459,0.0,0.0,3,2,2,1,3,1,0
460,0.0,0.0,3,3,2,1,9,2,1
461,0.0,0.0,3,3,2,1,1,1,0
463,0.0,0.0,3,2,2,3,2,1,0
464,0.0,0.0,3,1,1,1,1,1,0
465,0.0,0.0,3,3,2,2,1,1,1
466,0.0,0.0,3,2,2,4,2,1,0
467,0.0,0.0,3,2,2,6,1,1,0
469,0.0,0.0,3,1,1,2,1,1,1
470,8.682741935,0.0,3,2,4,5,2,1,0
471,0.0,0.0,3,2,4,3,1,1,0
473,0.0,0.0,3,3,2,1,3,1,1
476,9.702113281,0.0,3,2,4,1,2,2,1
477,7.256219133,0.0,3,2,2,3,1,1,0
478,0.0,0.0,3,3,2,3,2,1,0
479,0.0,0.0,3,2,2,3,3,1,0
481,0.0,0.0,3,1,1,3,1,1,0
483,0.0,0.0,3,3,2,3,1,1,0
485,0.0,0.0,3,2,6,4,1,1,0
487,0.0,0.0,3,2,2,7,7,1,0
488,0.0,0.0,3,2,2,9,1,1,1
489,10.10222222,0.0,3,1,1,1,10,1,0
490,0.0,0.0,3,1,1,1,1,1,1
491,0.0,0.0,3,3,2,3,9,1,1
492,0.0,0.0,3,4,2,1,3,1,0
493,0.0,0.0,3,2,2,6,1,1,0
494,0.0,0.0,3,2,2,1,2,2,1
495,0.0,0.0,3,3,2,1,1,1,1
496,0.0,0.0,3,3,2,7,9,1,1
497,0.0,0.0,3,2,4,1,3,1,1
498,0.0,0.0,3,2,4,6,2,1,1
499,0.0,0.0,3,2,2,1,2,1,0
500,0.0,0.0,3,2,2,4,1,1,0
503,9.162351243,0.0,3,3,2,1,1,1,0
504,1.865777778,0.0,3,2,2,3,13,1,0
505,0.0,0.0,3,2,2,6,2,2,1
506,0.0,0.0,3,2,2,3,13,1,0
507,0.0,0.0,3,1,6,1,1,1,0
508,0.0,0.0,3,1,1,1,3,1,0
509,0.0,0.0,3,2,2,3,1,1,0
511,0.0,0.0,3,3,2,3,2,1,0
512,0.0,0.0,3,2,2,1,1,1,0
513,7.169617487,0.0,3,2,2,1,1,1,1
514,0.0,0.0,3,2,4,7,2,1,0
515,0.0,0.0,3,2,2,4,3,1,0
516,0.0,0.0,3,1,1,2,3,1,0
517,0.0,0.0,3,2,4,1,3,1,1
518,0.0,0.0,3,2,2,3,14,1,0
519,0.0,0.0,3,2,2,1,3,1,1
520,0.0,0.0,3,3,2,1,10,1,0
521,0.0,0.0,3,2,2,1,3,1,0
522,0.0,0.0,3,3,2,2,3,1,1
524,0.0,0.0,3,2,4,3,1,1,0
526,0.0,0.0,3,3,2,5,1,1,1
527,0.0,0.0,3,3,2,6,1,1,0
529,0.0,0.0,3,3,2,3,1,1,0
530,0.0,0.0,3,2,2,1,2,1,0
531,0.0,0.0,3,3,7,3,3,1,0
532,0.0,0.0,3,3,2,7,1,1,0
533,0.0,0.0,3,2,2,2,3,1,1
534,0.0,0.0,3,3,2,7,3,1,1
535,0.0,0.0,3,2,4,3,1,1,0
537,0.0,0.0,3,2,5,2,10,1,0
538,0.0,0.0,3,1,1,1,10,1,0
539,0.0,0.0,3,2,2,3,1,1,0
542,0.0,0.0,3,1,1,7,2,2,0
543,0.0,0.0,3,2,7,1,3,1,1
544,22.80152439,0.0,3,2,2,1,2,1,0
545,0.0,0.0,3,2,2,7,2,2,1
546,0.0,0.0,3,2,4,1,1,1,1
547,0.0,0.0,3,2,2,3,8,2,0
548,0.0,0.0,3,1,1,1,2,2,0
549,0.0,0.0,3,4,1,1,1,1,0
550,0.0,0.0,3,3,2,1,1,1,0
552,0.0,0.0,3,2,2,1,1,1,0
553,0.0,0.0,3,1,1,3,1,1,0
555,0.0,0.0,3,4,2,1,2,1,0
556,0.0,0.0,3,2,2,7,8,2,0
559,0.0,0.0,3,4,2,1,3,1,0
560,0.0,0.0,3,3,2,8,2,1,0
561,0.0,0.0,3,2,2,1,8,1,0
563,0.0,0.0,3,2,2,7,10,1,0
565,0.0,0.0,3,4,1,2,3,1,1
566,0.0,0.0,3,2,5,2,2,1,1
567,0.0,0.0,3,2,2,1,2,1,0
569,0.0,0.0,3,2,4,1,1,1,1
570,0.0,0.0,3,3,2,3,10,1,1
571,0.0,0.0,3,4,1,4,1,1,0
572,0.0,0.0,3,2,2,1,1,1,0
573,0.0,0.0,3,2,2,1,3,1,1
574,0.0,0.0,3,2,4,1,1,1,0
575,3.541145833,0.0,3,2,4,1,1,1,1
576,0.0,0.0,3,2,5,1,1,1,0
577,0.0,0.0,3,3,2,6,1,1,1
578,0.0,0.0,3,2,2,6,1,1,1
580,0.0,0.0,3,2,7,7,6,1,0
581,0.0,0.0,3,1,1,1,3,1,1
582,0.0,0.0,3,2,2,4,8,2,0
583,0.0,0.0,3,4,1,3,2,1,0
584,0.0,0.0,3,1,1,3,2,1,0
585,0.0,0.0,3,3,2,1,10,1,0
586,0.0,0.0,3,1,2,1,10,1,0
587,9.294775641,0.0,3,2,2,1,10,1,0
588,0.0,0.0,3,2,2,1,1,1,0
589,0.0,0.0,3,2,2,1,1,1,0
590,0.0,0.0,3,2,6,9,6,1,0
593,0.0,0.0,3,1,1,9,8,2,0
596,0.0,0.0,3,2,2,3,1,1,0
598,0.0,0.0,3,2,2,2,1,1,0
599,0.0,0.0,3,2,2,4,1,1,0
602,0.0,0.0,3,4,1,3,1,1,0
603,35.99261538,0.0,3,2,2,3,7,1,1
606,0.0,0.0,3,1,1,1,2,1,1
608,0.0,0.0,3,1,2,1,2,1,1
611,0.0,0.0,3,2,2,2,2,1,0
612,10.60089168,0.0,3,2,2,3,1,1,0
613,5.51397619,0.0,3,4,1,3,2,1,0
614,27.45138186,0.0,3,3,2,1,2,1,1
616,0.0,0.0,3,1,1,3,2,1,0
618,0.0,0.0,3,1,1,1,3,1,0
619,0.0,0.0,3,2,2,3,2,1,0
620,0.0,0.0,3,2,2,1,3,1,0
623,0.0,0.0,3,2,2,1,3,1,0
625,0.0,0.0,3,3,2,4,2,1,1
626,0.0,0.0,3,3,2,5,1,1,0
628,0.0,0.0,3,2,2,1,2,1,0
629,0.0,0.0,3,2,2,6,1,1,0
630,16.71534488,0.0,3,2,2,3,2,1,0
632,0.0,0.0,3,2,2,6,1,1,0
633,2.188718519,0.0,3,2,4,3,2,1,1
634,0.0,0.0,3,3,2,6,3,1,0
635,0.0,0.0,3,1,1,8,3,1,0
638,0.0,0.0,3,3,2,3,3,1,0
639,0.0,0.0,3,2,2,5,2,1,0
640,0.0,0.0,3,3,2,3,1,1,1
641,2.08053355,0.0,3,1,1,3,2,1,0
642,0.0,0.0,3,2,2,8,2,1,0
643,0.0,0.0,3,2,2,3,1,1,0
644,0.0,0.0,3,2,2,7,1,1,0
645,0.0,0.0,3,2,2,2,1,1,0
646,0.0,0.0,3,3,2,4,8,1,0
650,0.0,0.0,3,2,2,1,13,1,1
651,0.0,0.0,3,3,2,1,1,1,0
652,10.7929507,0.0,3,2,2,2,2,2,0
653,0.0,0.0,3,2,2,2,2,1,1
654,0.0,0.0,3,2,2,4,1,1,0
655,0.0,0.0,3,1,8,3,2,1,0
656,0.0,0.0,3,2,2,3,1,1,0
660,0.0,0.0,3,2,2,3,3,1,1
661,0.0,0.0,3,2,2,4,1,1,0
662,0.0,0.0,3,3,2,1,8,2,1
663,0.0,0.0,3,1,1,8,3,1,0
664,0.0,0.0,3,3,2,3,1,1,1
665,8.482727273,0.0,3,2,2,8,2,1,0
668,0.0,0.0,3,1,1,9,3,2,1
670,0.0,0.0,3,2,4,6,2,1,0
672,0.0,0.0,3,2,2,1,1,1,0
673,0.0,0.0,3,1,1,1,6,1,1
675,18.5847619,0.0,3,4,1,1,3,1,0
676,0.0,0.0,3,2,2,1,1,1,0
677,0.0,0.0,3,3,2,3,9,1,1
678,0.0,0.0,3,2,2,1,2,2,1
679,0.0,0.0,3,2,2,6,1,1,0
680,0.0,0.0,3,2,2,1,1,1,0
681,0.0,0.0,3,2,2,8,2,1,0
682,3.077836066,0.0,3,2,4,3,1,1,1
683,0.0,0.0,3,2,2,1,1,1,0
687,0.0,0.0,3,1,1,3,15,1,1
689,0.0,0.0,3,2,2,2,2,1,0
690,0.0,0.0,3,2,4,3,3,1,0
691,0.0,0.0,3,3,2,2,3,1,0
693,0.0,0.0,3,2,5,1,3,1,0
694,6.482798269,0.0,3,2,4,4,1,1,0
696,6.445051499,0.0,3,3,2,1,2,1,1
697,20.97144,0.0,3,2,4,3,8,1,1
699,0.0,0.0,3,3,2,1,8,2,1
700,0.0,0.0,3,3,2,1,10,1,0
701,0.0,0.0,3,4,2,8,1,1,0
703,0.0,0.0,3,1,1,3,1,1,0
704,4.642,0.0,3,2,2,2,2,1,0
705,0.0,0.0,3,3,2,2,3,1,0
706,0.0,0.0,3,3,2,8,3,1,1
707,0.0,0.0,3,2,4,1,2,1,0
708,0.0,0.0,3,1,1,2,2,2,0
709,0.0,0.0,3,2,2,1,10,1,0
710,0.0,0.0,3,1,1,3,2,1,0
711,0.0,0.0,3,3,2,3,10,1,0
712,0.0,0.0,3,2,2,4,2,1,0
714,0.0,0.0,3,2,5,1,10,1,0
715,0.0,0.0,3,1,1,3,1,1,0
717,0.0,0.0,3,2,2,3,2,1,0
718,0.0,0.0,3,3,2,2,1,1,0
719,0.0,0.0,3,2,2,8,6,2,0
720,0.0,0.0,3,1,1,3,3,1,0
722,4.494741228,0.0,3,1,1,2,1,1,1
724,0.0,0.0,3,1,1,2,1,1,0
727,0.0,0.0,3,2,4,1,3,1,0
728,0.0,0.0,3,1,1,6,1,1,1
729,0.0,0.0,3,3,2,1,3,1,0
730,0.0,0.0,3,2,2,2,13,1,1
731,0.0,0.0,3,1,1,7,3,1,0
732,0.0,0.0,3,1,1,1,3,1,1
733,0.0,0.0,3,1,2,2,2,1,0
734,0.0,0.0,3,1,1,3,1,1,1
736,0.0,0.0,3,4,1,3,3,1,0
737,7.882377258,0.0,3,1,1,3,2,1,0
738,0.0,0.0,3,3,2,1,8,2,0
739,0.0,0.0,3,3,2,1,9,1,1
741,0.0,0.0,3,2,2,4,1,1,1
742,0.0,0.0,3,2,2,2,13,1,0
743,0.0,0.0,3,1,8,2,1,1,0
744,0.0,0.0,3,2,4,7,2,1,0
745,0.0,0.0,3,2,2,3,2,1,0
747,0.0,0.0,3,2,2,1,3,1,0
749,0.0,0.0,3,2,2,4,1,1,0
750,3.609398514,0.0,3,2,4,7,3,1,1
751,0.0,0.0,3,2,2,3,1,1,0
753,0.0,0.0,3,1,1,3,2,1,1
754,0.0,0.0,3,1,1,2,2,2,1
756,32.64521053,0.0,3,2,7,3,2,1,0
